"DecYr","Data"
1946,NA
1947,NA
1948,NA
1949,NA
1950,NA
1951,NA
1952,NA
1953,NA
1954,NA
1955,NA
1956,NA
1957,NA
1958,NA
1959,NA
1960,NA
1961,NA
1962,NA
1963,NA
1964,NA
1965,NA
1966,NA
1967,NA
1968,NA
1969,117
1970,78
1971,106
1972,107
1973,80
1974,102
1975,83
1976,103
1977,74
1978,97
1979,73
1980,78
1981,88
1982,109
1983,126
1984,112
1985,48
1986,89
1987,81
1988,68
1989,97
1990,81
1991,99
1992,123
1993,161
1994,87
1995,95
1996,120
1997,146
1998,105
1999,91
2000,72
2001,61
2002,80
2003,112
2004,110
2005,145
2006,112
2007,74
2008,89
2009,82
2010,100
2011,100
2012,121
2013,100
2014,101
2015,92
2016,85
2017,116
